,Experience Level,Country or Area,Education level,Qualification level,Statutory salary,Measure,Unit of measure,Statutory time,Actual Salary per Hour
330,10 years of Experience,Czechia,Pre-primary education,Maximum qualification at this stage of career,25461.519,Statutory teaching time,Hours per year,1308.2,19.463017122764104
331,10 years of Experience,Czechia,Pre-primary education,Maximum qualification at this stage of career,25461.519,Total statutory working time,Hours per year,1688.0,15.08383827014218
332,10 years of Experience,Czechia,Pre-primary education,Minimum qualification at this stage of career,25461.519,Statutory teaching time,Hours per year,1308.2,19.463017122764104
333,10 years of Experience,Czechia,Pre-primary education,Minimum qualification at this stage of career,25461.519,Total statutory working time,Hours per year,1688.0,15.08383827014218
334,10 years of Experience,Czechia,Pre-primary education,Most prevalent qualification at this stage of career,25461.519,Statutory teaching time,Hours per year,1308.2,19.463017122764104
335,10 years of Experience,Czechia,Pre-primary education,Most prevalent qualification at this stage of career,25461.519,Total statutory working time,Hours per year,1688.0,15.08383827014218
336,15 years of Experience,Czechia,Pre-primary education,Maximum qualification at this stage of career,26108.16,Statutory teaching time,Hours per year,1308.2,19.95731539519951
337,15 years of Experience,Czechia,Pre-primary education,Maximum qualification at this stage of career,26108.16,Total statutory working time,Hours per year,1688.0,15.46691943127962
338,15 years of Experience,Czechia,Pre-primary education,Minimum qualification at this stage of career,26108.16,Statutory teaching time,Hours per year,1308.2,19.95731539519951
339,15 years of Experience,Czechia,Pre-primary education,Minimum qualification at this stage of career,26108.16,Total statutory working time,Hours per year,1688.0,15.46691943127962
340,15 years of Experience,Czechia,Pre-primary education,Most prevalent qualification at this stage of career,26108.16,Statutory teaching time,Hours per year,1308.2,19.95731539519951
341,15 years of Experience,Czechia,Pre-primary education,Most prevalent qualification at this stage of career,26108.16,Total statutory working time,Hours per year,1688.0,15.46691943127962
342,Maximum Experience,Czechia,Pre-primary education,Maximum qualification at this stage of career,29098.878,Statutory teaching time,Hours per year,1308.2,22.243447485094023
343,Maximum Experience,Czechia,Pre-primary education,Maximum qualification at this stage of career,29098.878,Total statutory working time,Hours per year,1688.0,17.238671800947866
344,Maximum Experience,Czechia,Pre-primary education,Minimum qualification at this stage of career,29098.878,Statutory teaching time,Hours per year,1308.2,22.243447485094023
345,Maximum Experience,Czechia,Pre-primary education,Minimum qualification at this stage of career,29098.878,Total statutory working time,Hours per year,1688.0,17.238671800947866
346,Maximum Experience,Czechia,Pre-primary education,Most prevalent qualification at this stage of career,29098.878,Statutory teaching time,Hours per year,1308.2,22.243447485094023
347,Maximum Experience,Czechia,Pre-primary education,Most prevalent qualification at this stage of career,29098.878,Total statutory working time,Hours per year,1688.0,17.238671800947866
348,No Experience,Czechia,Primary education,Maximum qualification at this stage of career,26188.991,Statutory teaching time,Hours per year,630.3,41.550041250198326
349,No Experience,Czechia,Primary education,Maximum qualification at this stage of career,26188.991,Total statutory working time,Hours per year,1688.0,15.51480509478673
350,No Experience,Czechia,Primary education,Minimum qualification at this stage of career,26188.991,Statutory teaching time,Hours per year,630.3,41.550041250198326
351,No Experience,Czechia,Primary education,Minimum qualification at this stage of career,26188.991,Total statutory working time,Hours per year,1688.0,15.51480509478673
352,No Experience,Czechia,Primary education,Most prevalent qualification at this stage of career,26188.991,Statutory teaching time,Hours per year,630.3,41.550041250198326
353,No Experience,Czechia,Primary education,Most prevalent qualification at this stage of career,26188.991,Total statutory working time,Hours per year,1688.0,15.51480509478673
354,10 years of Experience,Czechia,Primary education,Maximum qualification at this stage of career,27886.425,Statutory teaching time,Hours per year,630.3,44.24309852451214
355,10 years of Experience,Czechia,Primary education,Maximum qualification at this stage of career,27886.425,Total statutory working time,Hours per year,1688.0,16.52039395734597
356,10 years of Experience,Czechia,Primary education,Minimum qualification at this stage of career,27886.425,Statutory teaching time,Hours per year,630.3,44.24309852451214
357,10 years of Experience,Czechia,Primary education,Minimum qualification at this stage of career,27886.425,Total statutory working time,Hours per year,1688.0,16.52039395734597
358,10 years of Experience,Czechia,Primary education,Most prevalent qualification at this stage of career,27886.425,Statutory teaching time,Hours per year,630.3,44.24309852451214
359,10 years of Experience,Czechia,Primary education,Most prevalent qualification at this stage of career,27886.425,Total statutory working time,Hours per year,1688.0,16.52039395734597
360,15 years of Experience,Czechia,Primary education,Maximum qualification at this stage of career,29098.878,Statutory teaching time,Hours per year,630.3,46.16671108995717
361,15 years of Experience,Czechia,Primary education,Maximum qualification at this stage of career,29098.878,Total statutory working time,Hours per year,1688.0,17.238671800947866
362,15 years of Experience,Czechia,Primary education,Minimum qualification at this stage of career,29098.878,Statutory teaching time,Hours per year,630.3,46.16671108995717
363,15 years of Experience,Czechia,Primary education,Minimum qualification at this stage of career,29098.878,Total statutory working time,Hours per year,1688.0,17.238671800947866
364,15 years of Experience,Czechia,Primary education,Most prevalent qualification at this stage of career,29098.878,Statutory teaching time,Hours per year,630.3,46.16671108995717
365,15 years of Experience,Czechia,Primary education,Most prevalent qualification at this stage of career,29098.878,Total statutory working time,Hours per year,1688.0,17.238671800947866
366,Maximum Experience,Czechia,Primary education,Maximum qualification at this stage of career,34352.843,Statutory teaching time,Hours per year,630.3,54.50236871331113
367,Maximum Experience,Czechia,Primary education,Maximum qualification at this stage of career,34352.843,Total statutory working time,Hours per year,1688.0,20.351210308056874
368,Maximum Experience,Czechia,Primary education,Minimum qualification at this stage of career,34352.843,Statutory teaching time,Hours per year,630.3,54.50236871331113
369,Maximum Experience,Czechia,Primary education,Minimum qualification at this stage of career,34352.843,Total statutory working time,Hours per year,1688.0,20.351210308056874
370,Maximum Experience,Czechia,Primary education,Most prevalent qualification at this stage of career,34352.843,Statutory teaching time,Hours per year,630.3,54.50236871331113
371,Maximum Experience,Czechia,Primary education,Most prevalent qualification at this stage of career,34352.843,Total statutory working time,Hours per year,1688.0,20.351210308056874
372,No Experience,Czechia,Upper secondary general education,Maximum qualification at this stage of career,26269.821,Statutory teaching time,Hours per year,573.0,45.84610994764398
373,No Experience,Czechia,Upper secondary general education,Maximum qualification at this stage of career,26269.821,Total statutory working time,Hours per year,1688.0,15.562690165876777
374,No Experience,Czechia,Upper secondary general education,Minimum qualification at this stage of career,26269.821,Statutory teaching time,Hours per year,573.0,45.84610994764398
375,No Experience,Czechia,Upper secondary general education,Minimum qualification at this stage of career,26269.821,Total statutory working time,Hours per year,1688.0,15.562690165876777
376,No Experience,Czechia,Upper secondary general education,Most prevalent qualification at this stage of career,26269.821,Statutory teaching time,Hours per year,573.0,45.84610994764398
377,No Experience,Czechia,Upper secondary general education,Most prevalent qualification at this stage of career,26269.821,Total statutory working time,Hours per year,1688.0,15.562690165876777
378,10 years of Experience,Czechia,Upper secondary general education,Maximum qualification at this stage of career,27967.255,Statutory teaching time,Hours per year,573.0,48.808472949389184
379,10 years of Experience,Czechia,Upper secondary general education,Maximum qualification at this stage of career,27967.255,Total statutory working time,Hours per year,1688.0,16.56827902843602
380,10 years of Experience,Czechia,Upper secondary general education,Minimum qualification at this stage of career,27967.255,Statutory teaching time,Hours per year,573.0,48.808472949389184
381,10 years of Experience,Czechia,Upper secondary general education,Minimum qualification at this stage of career,27967.255,Total statutory working time,Hours per year,1688.0,16.56827902843602
382,10 years of Experience,Czechia,Upper secondary general education,Most prevalent qualification at this stage of career,27967.255,Statutory teaching time,Hours per year,573.0,48.808472949389184
383,10 years of Experience,Czechia,Upper secondary general education,Most prevalent qualification at this stage of career,27967.255,Total statutory working time,Hours per year,1688.0,16.56827902843602
384,15 years of Experience,Czechia,Upper secondary general education,Maximum qualification at this stage of career,29179.709,Statutory teaching time,Hours per year,573.0,50.9244485165794
385,15 years of Experience,Czechia,Upper secondary general education,Maximum qualification at this stage of career,29179.709,Total statutory working time,Hours per year,1688.0,17.286557464454976
386,15 years of Experience,Czechia,Upper secondary general education,Minimum qualification at this stage of career,29179.709,Statutory teaching time,Hours per year,573.0,50.9244485165794
387,15 years of Experience,Czechia,Upper secondary general education,Minimum qualification at this stage of career,29179.709,Total statutory working time,Hours per year,1688.0,17.286557464454976
388,15 years of Experience,Czechia,Upper secondary general education,Most prevalent qualification at this stage of career,29179.709,Statutory teaching time,Hours per year,573.0,50.9244485165794
389,15 years of Experience,Czechia,Upper secondary general education,Most prevalent qualification at this stage of career,29179.709,Total statutory working time,Hours per year,1688.0,17.286557464454976
390,Maximum Experience,Czechia,Upper secondary general education,Maximum qualification at this stage of career,34514.503,Statutory teaching time,Hours per year,573.0,60.23473472949389
391,Maximum Experience,Czechia,Upper secondary general education,Maximum qualification at this stage of career,34514.503,Total statutory working time,Hours per year,1688.0,20.446980450236964
392,Maximum Experience,Czechia,Upper secondary general education,Minimum qualification at this stage of career,34514.503,Statutory teaching time,Hours per year,573.0,60.23473472949389
393,Maximum Experience,Czechia,Upper secondary general education,Minimum qualification at this stage of career,34514.503,Total statutory working time,Hours per year,1688.0,20.446980450236964
394,Maximum Experience,Czechia,Upper secondary general education,Most prevalent qualification at this stage of career,34514.503,Statutory teaching time,Hours per year,573.0,60.23473472949389
395,Maximum Experience,Czechia,Upper secondary general education,Most prevalent qualification at this stage of career,34514.503,Total statutory working time,Hours per year,1688.0,20.446980450236964
396,No Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,53598.012,Statutory teaching time,Hours per year,690.0,77.67827826086958
397,No Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,53598.012,Total statutory working time,Hours per year,1628.0,32.92261179361179
398,No Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,53598.012,Statutory working time required at school,Hours per year,1628.0,32.92261179361179
399,No Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,53598.012,Statutory teaching time,Hours per year,690.0,77.67827826086958
400,No Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,53598.012,Total statutory working time,Hours per year,1628.0,32.92261179361179
401,No Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,53598.012,Statutory working time required at school,Hours per year,1628.0,32.92261179361179
402,No Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,53598.012,Statutory teaching time,Hours per year,690.0,77.67827826086958
403,No Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,53598.012,Total statutory working time,Hours per year,1628.0,32.92261179361179
404,No Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,53598.012,Statutory working time required at school,Hours per year,1628.0,32.92261179361179
405,10 years of Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,59930.243,Statutory teaching time,Hours per year,690.0,86.85542463768117
406,10 years of Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,59930.243,Total statutory working time,Hours per year,1628.0,36.812188574938574
407,10 years of Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,59930.243,Statutory working time required at school,Hours per year,1628.0,36.812188574938574
408,10 years of Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,59930.243,Statutory teaching time,Hours per year,690.0,86.85542463768117
409,10 years of Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,59930.243,Total statutory working time,Hours per year,1628.0,36.812188574938574
410,10 years of Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,59930.243,Statutory working time required at school,Hours per year,1628.0,36.812188574938574
411,10 years of Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,59930.243,Statutory teaching time,Hours per year,690.0,86.85542463768117
412,10 years of Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,59930.243,Total statutory working time,Hours per year,1628.0,36.812188574938574
413,10 years of Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,59930.243,Statutory working time required at school,Hours per year,1628.0,36.812188574938574
414,15 years of Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,61967.767,Statutory teaching time,Hours per year,690.0,89.80835797101449
415,15 years of Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,61967.767,Total statutory working time,Hours per year,1628.0,38.06373894348894
416,15 years of Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,61967.767,Statutory working time required at school,Hours per year,1628.0,38.06373894348894
417,15 years of Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,61967.767,Statutory teaching time,Hours per year,690.0,89.80835797101449
418,15 years of Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,61967.767,Total statutory working time,Hours per year,1628.0,38.06373894348894
419,15 years of Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,61967.767,Statutory working time required at school,Hours per year,1628.0,38.06373894348894
420,15 years of Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,61967.767,Statutory teaching time,Hours per year,690.0,89.80835797101449
421,15 years of Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,61967.767,Total statutory working time,Hours per year,1628.0,38.06373894348894
422,15 years of Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,61967.767,Statutory working time required at school,Hours per year,1628.0,38.06373894348894
423,Maximum Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,61967.767,Statutory teaching time,Hours per year,690.0,89.80835797101449
424,Maximum Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,61967.767,Total statutory working time,Hours per year,1628.0,38.06373894348894
425,Maximum Experience,Denmark,Lower secondary general education,Maximum qualification at this stage of career,61967.767,Statutory working time required at school,Hours per year,1628.0,38.06373894348894
426,Maximum Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,61967.767,Statutory teaching time,Hours per year,690.0,89.80835797101449
427,Maximum Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,61967.767,Total statutory working time,Hours per year,1628.0,38.06373894348894
428,Maximum Experience,Denmark,Lower secondary general education,Minimum qualification at this stage of career,61967.767,Statutory working time required at school,Hours per year,1628.0,38.06373894348894
429,Maximum Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,61967.767,Statutory teaching time,Hours per year,690.0,89.80835797101449
430,Maximum Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,61967.767,Total statutory working time,Hours per year,1628.0,38.06373894348894
431,Maximum Experience,Denmark,Lower secondary general education,Most prevalent qualification at this stage of career,61967.767,Statutory working time required at school,Hours per year,1628.0,38.06373894348894
432,No Experience,Denmark,Pre-primary education,Maximum qualification at this stage of career,46551.73,Total statutory working time,Hours per year,1628.0,28.59442874692875
433,No Experience,Denmark,Pre-primary education,Maximum qualification at this stage of career,46551.73,Statutory working time required at school,Hours per year,1628.0,28.59442874692875
434,No Experience,Denmark,Pre-primary education,Minimum qualification at this stage of career,46551.73,Total statutory working time,Hours per year,1628.0,28.59442874692875
435,No Experience,Denmark,Pre-primary education,Minimum qualification at this stage of career,46551.73,Statutory working time required at school,Hours per year,1628.0,28.59442874692875
436,No Experience,Denmark,Pre-primary education,Most prevalent qualification at this stage of career,46551.73,Total statutory working time,Hours per year,1628.0,28.59442874692875
437,No Experience,Denmark,Pre-primary education,Most prevalent qualification at this stage of career,46551.73,Statutory working time required at school,Hours per year,1628.0,28.59442874692875
438,10 years of Experience,Denmark,Pre-primary education,Maximum qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
439,10 years of Experience,Denmark,Pre-primary education,Maximum qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
440,10 years of Experience,Denmark,Pre-primary education,Minimum qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
441,10 years of Experience,Denmark,Pre-primary education,Minimum qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
442,10 years of Experience,Denmark,Pre-primary education,Most prevalent qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
443,10 years of Experience,Denmark,Pre-primary education,Most prevalent qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
444,15 years of Experience,Denmark,Pre-primary education,Maximum qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
445,15 years of Experience,Denmark,Pre-primary education,Maximum qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
446,15 years of Experience,Denmark,Pre-primary education,Minimum qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
447,15 years of Experience,Denmark,Pre-primary education,Minimum qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
448,15 years of Experience,Denmark,Pre-primary education,Most prevalent qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
449,15 years of Experience,Denmark,Pre-primary education,Most prevalent qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
450,Maximum Experience,Denmark,Pre-primary education,Maximum qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
451,Maximum Experience,Denmark,Pre-primary education,Maximum qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
452,Maximum Experience,Denmark,Pre-primary education,Minimum qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
453,Maximum Experience,Denmark,Pre-primary education,Minimum qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
454,Maximum Experience,Denmark,Pre-primary education,Most prevalent qualification at this stage of career,52260.675,Total statutory working time,Hours per year,1628.0,32.10115171990172
455,Maximum Experience,Denmark,Pre-primary education,Most prevalent qualification at this stage of career,52260.675,Statutory working time required at school,Hours per year,1628.0,32.10115171990172
456,No Experience,Denmark,Primary education,Maximum qualification at this stage of career,53349.083,Statutory teaching time,Hours per year,699.0,76.32200715307582
457,No Experience,Denmark,Primary education,Maximum qualification at this stage of career,53349.083,Total statutory working time,Hours per year,1628.0,32.769707002457004
458,No Experience,Denmark,Primary education,Maximum qualification at this stage of career,53349.083,Statutory working time required at school,Hours per year,1628.0,32.769707002457004
459,No Experience,Denmark,Primary education,Minimum qualification at this stage of career,53363.59,Statutory teaching time,Hours per year,699.0,76.34276108726752
460,No Experience,Denmark,Primary education,Minimum qualification at this stage of career,53363.59,Total statutory working time,Hours per year,1628.0,32.77861793611793
461,No Experience,Denmark,Primary education,Minimum qualification at this stage of career,53363.59,Statutory working time required at school,Hours per year,1628.0,32.77861793611793
462,No Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,53363.59,Statutory teaching time,Hours per year,699.0,76.34276108726752
463,No Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,53363.59,Total statutory working time,Hours per year,1628.0,32.77861793611793
464,No Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,53363.59,Statutory working time required at school,Hours per year,1628.0,32.77861793611793
465,10 years of Experience,Denmark,Primary education,Maximum qualification at this stage of career,59278.456,Statutory teaching time,Hours per year,699.0,84.80465808297568
466,10 years of Experience,Denmark,Primary education,Maximum qualification at this stage of career,59278.456,Total statutory working time,Hours per year,1628.0,36.41182800982801
467,10 years of Experience,Denmark,Primary education,Maximum qualification at this stage of career,59278.456,Statutory working time required at school,Hours per year,1628.0,36.41182800982801
468,10 years of Experience,Denmark,Primary education,Minimum qualification at this stage of career,59293.99,Statutory teaching time,Hours per year,699.0,84.82688125894134
469,10 years of Experience,Denmark,Primary education,Minimum qualification at this stage of career,59293.99,Total statutory working time,Hours per year,1628.0,36.421369778869774
470,10 years of Experience,Denmark,Primary education,Minimum qualification at this stage of career,59293.99,Statutory working time required at school,Hours per year,1628.0,36.421369778869774
471,10 years of Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,59293.99,Statutory teaching time,Hours per year,699.0,84.82688125894134
472,10 years of Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,59293.99,Total statutory working time,Hours per year,1628.0,36.421369778869774
473,10 years of Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,59293.99,Statutory working time required at school,Hours per year,1628.0,36.421369778869774
474,15 years of Experience,Denmark,Primary education,Maximum qualification at this stage of career,61456.172,Statutory teaching time,Hours per year,699.0,87.92013161659513
475,15 years of Experience,Denmark,Primary education,Maximum qualification at this stage of career,61456.172,Total statutory working time,Hours per year,1628.0,37.7494914004914
476,15 years of Experience,Denmark,Primary education,Maximum qualification at this stage of career,61456.172,Statutory working time required at school,Hours per year,1628.0,37.7494914004914
477,15 years of Experience,Denmark,Primary education,Minimum qualification at this stage of career,61472.604,Statutory teaching time,Hours per year,699.0,87.94363948497853
478,15 years of Experience,Denmark,Primary education,Minimum qualification at this stage of career,61472.604,Total statutory working time,Hours per year,1628.0,37.759584766584766
479,15 years of Experience,Denmark,Primary education,Minimum qualification at this stage of career,61472.604,Statutory working time required at school,Hours per year,1628.0,37.759584766584766
480,15 years of Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,61472.604,Statutory teaching time,Hours per year,699.0,87.94363948497853
481,15 years of Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,61472.604,Total statutory working time,Hours per year,1628.0,37.759584766584766
482,15 years of Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,61472.604,Statutory working time required at school,Hours per year,1628.0,37.759584766584766
483,Maximum Experience,Denmark,Primary education,Maximum qualification at this stage of career,61456.172,Statutory teaching time,Hours per year,699.0,87.92013161659513
484,Maximum Experience,Denmark,Primary education,Maximum qualification at this stage of career,61456.172,Total statutory working time,Hours per year,1628.0,37.7494914004914
485,Maximum Experience,Denmark,Primary education,Maximum qualification at this stage of career,61456.172,Statutory working time required at school,Hours per year,1628.0,37.7494914004914
486,Maximum Experience,Denmark,Primary education,Minimum qualification at this stage of career,61472.604,Statutory teaching time,Hours per year,699.0,87.94363948497853
487,Maximum Experience,Denmark,Primary education,Minimum qualification at this stage of career,61472.604,Total statutory working time,Hours per year,1628.0,37.759584766584766
488,Maximum Experience,Denmark,Primary education,Minimum qualification at this stage of career,61472.604,Statutory working time required at school,Hours per year,1628.0,37.759584766584766
489,Maximum Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,61472.604,Statutory teaching time,Hours per year,699.0,87.94363948497853
490,Maximum Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,61472.604,Total statutory working time,Hours per year,1628.0,37.759584766584766
491,Maximum Experience,Denmark,Primary education,Most prevalent qualification at this stage of career,61472.604,Statutory working time required at school,Hours per year,1628.0,37.759584766584766
492,No Experience,Denmark,Upper secondary general education,Maximum qualification at this stage of career,50443.708,Total statutory working time,Hours per year,1628.0,30.985078624078625
493,No Experience,Denmark,Upper secondary general education,Maximum qualification at this stage of career,50443.708,Statutory working time required at school,Hours per year,1628.0,30.985078624078625
494,No Experience,Denmark,Upper secondary general education,Minimum qualification at this stage of career,50443.708,Total statutory working time,Hours per year,1628.0,30.985078624078625
495,No Experience,Denmark,Upper secondary general education,Minimum qualification at this stage of career,50443.708,Statutory working time required at school,Hours per year,1628.0,30.985078624078625
496,No Experience,Denmark,Upper secondary general education,Most prevalent qualification at this stage of career,50443.708,Total statutory working time,Hours per year,1628.0,30.985078624078625
497,No Experience,Denmark,Upper secondary general education,Most prevalent qualification at this stage of career,50443.708,Statutory working time required at school,Hours per year,1628.0,30.985078624078625
498,10 years of Experience,Denmark,Upper secondary general education,Maximum qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
499,10 years of Experience,Denmark,Upper secondary general education,Maximum qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
500,10 years of Experience,Denmark,Upper secondary general education,Minimum qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
501,10 years of Experience,Denmark,Upper secondary general education,Minimum qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
502,10 years of Experience,Denmark,Upper secondary general education,Most prevalent qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
503,10 years of Experience,Denmark,Upper secondary general education,Most prevalent qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
504,15 years of Experience,Denmark,Upper secondary general education,Maximum qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
505,15 years of Experience,Denmark,Upper secondary general education,Maximum qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
506,15 years of Experience,Denmark,Upper secondary general education,Minimum qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
507,15 years of Experience,Denmark,Upper secondary general education,Minimum qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
508,15 years of Experience,Denmark,Upper secondary general education,Most prevalent qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
509,15 years of Experience,Denmark,Upper secondary general education,Most prevalent qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
510,Maximum Experience,Denmark,Upper secondary general education,Maximum qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
511,Maximum Experience,Denmark,Upper secondary general education,Maximum qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
512,Maximum Experience,Denmark,Upper secondary general education,Minimum qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
513,Maximum Experience,Denmark,Upper secondary general education,Minimum qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
514,Maximum Experience,Denmark,Upper secondary general education,Most prevalent qualification at this stage of career,65554.713,Total statutory working time,Hours per year,1628.0,40.26702272727273
515,Maximum Experience,Denmark,Upper secondary general education,Most prevalent qualification at this stage of career,65554.713,Statutory working time required at school,Hours per year,1628.0,40.26702272727273
516,No Experience,England,Lower secondary general education,Maximum qualification at this stage of career,56534.431,Total statutory working time,Hours per year,1265.0,44.69124980237154
517,No Experience,England,Lower secondary general education,Minimum qualification at this stage of career,34731.956,Total statutory working time,Hours per year,1265.0,27.45609169960474
518,No Experience,England,Lower secondary general education,Most prevalent qualification at this stage of career,34731.956,Total statutory working time,Hours per year,1265.0,27.45609169960474
519,15 years of Experience,England,Lower secondary general education,Minimum qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
520,15 years of Experience,England,Lower secondary general education,Most prevalent qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
521,Maximum Experience,England,Lower secondary general education,Maximum qualification at this stage of career,85243.474,Total statutory working time,Hours per year,1265.0,67.38614545454546
522,Maximum Experience,England,Lower secondary general education,Minimum qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
523,Maximum Experience,England,Lower secondary general education,Most prevalent qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
524,No Experience,England,Pre-primary education,Maximum qualification at this stage of career,56534.431,Total statutory working time,Hours per year,1265.0,44.69124980237154
525,No Experience,England,Pre-primary education,Minimum qualification at this stage of career,34731.956,Total statutory working time,Hours per year,1265.0,27.45609169960474
526,No Experience,England,Pre-primary education,Most prevalent qualification at this stage of career,34731.956,Total statutory working time,Hours per year,1265.0,27.45609169960474
527,15 years of Experience,England,Pre-primary education,Minimum qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
528,15 years of Experience,England,Pre-primary education,Most prevalent qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
529,Maximum Experience,England,Pre-primary education,Maximum qualification at this stage of career,85243.474,Total statutory working time,Hours per year,1265.0,67.38614545454546
530,Maximum Experience,England,Pre-primary education,Minimum qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
531,Maximum Experience,England,Pre-primary education,Most prevalent qualification at this stage of career,55726.257,Total statutory working time,Hours per year,1265.0,44.05237707509881
